index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
135,,,8:00:00,6,1:22:00,9:22:00,6,NK233,NK,Spirit Airlines,14215,,
136,,,22:45:00,4,1:13:00,23:58:00,4,DL1002,DL,Delta Airlines,16402,,
137,,,22:45:00,5,1:13:00,23:58:00,5,DL1002,DL,Delta Airlines,16458,,
138,,,12:32:00,5,1:17:00,13:49:00,5,AA982,AA,American Airlines,16458,,
139,,,10:22:00,5,1:18:00,11:40:00,5,AA2778,AA,American Airlines,16458,,
140,,,10:22:00,6,1:18:00,11:40:00,6,AA2778,AA,American Airlines,16458,,
141,,,8:00:00,5,1:19:00,9:19:00,5,AA1567,AA,American Airlines,16458,,
142,,,14:28:00,5,1:20:00,15:48:00,5,AA980,AA,American Airlines,16458,,
143,,,17:45:00,0,14:55:00,8:40:00,1,VS3849,VS,Virgin Atlantic,107990,224697,
144,,,17:45:00,2,14:55:00,8:40:00,3,VS3849,VS,Virgin Atlantic,107990,224697,625056
145,,,17:45:00,3,14:55:00,8:40:00,4,VS3849,VS,Virgin Atlantic,107990,,1348021
146,,,17:45:00,1,14:55:00,8:40:00,2,VS3849,VS,Virgin Atlantic,107990,226562,732668
147,,,17:45:00,5,14:55:00,8:40:00,6,VS3849,VS,Virgin Atlantic,113462,,
148,,,17:45:00,6,14:55:00,8:40:00,0,VS3849,VS,Virgin Atlantic,113462,,1134566
149,,,16:05:00,6,14:55:00,7:00:00,0,UA8830,UA,United Airlines,164360,198872,
150,,,16:05:00,5,14:55:00,7:00:00,6,UA8830,UA,United Airlines,164940,,618416
151,,,16:05:00,6,14:55:00,7:00:00,0,LH445,LH,Lufthansa,165004,197279,794661
152,,,16:05:00,5,14:55:00,7:00:00,6,LH445,LH,Lufthansa,165004,197279,617811
153,,,16:05:00,2,14:55:00,7:00:00,3,UA8830,UA,United Airlines,166399,,
154,,,16:05:00,0,14:55:00,7:00:00,1,UA8830,UA,United Airlines,166399,240032,745400
155,,,16:05:00,3,14:55:00,7:00:00,4,UA8830,UA,United Airlines,166399,184423,
156,,,16:05:00,2,14:55:00,7:00:00,3,LH445,LH,Lufthansa,166463,243537,879173
157,,,17:45:00,3,14:55:00,8:40:00,4,DL14,DL,Delta Airlines,166463,,1343778
158,,,17:45:00,2,14:55:00,8:40:00,3,DL14,DL,Delta Airlines,166463,,620812
159,,,17:45:00,0,14:55:00,8:40:00,1,DL14,DL,Delta Airlines,166463,,800569
160,,,17:45:00,1,14:55:00,8:40:00,2,DL14,DL,Delta Airlines,166463,226562,
161,,,16:05:00,0,14:55:00,7:00:00,1,LH445,LH,Lufthansa,166463,243537,
162,,,16:05:00,3,14:55:00,7:00:00,4,LH445,LH,Lufthansa,167103,185575,731053
163,,,17:45:00,4,14:55:00,8:40:00,5,VS3849,VS,Virgin Atlantic,170392,,847856
164,,,17:45:00,4,14:55:00,8:40:00,5,DL14,DL,Delta Airlines,171024,,843613
165,,,17:45:00,5,14:55:00,8:40:00,6,DL14,DL,Delta Airlines,171024,,
166,,,17:45:00,6,14:55:00,8:40:00,0,DL14,DL,Delta Airlines,171024,461913,1180391
167,,,22:10:00,2,17:30:00,15:40:00,3,TK32,TK,Turkish Airlines,116648,,312122
168,,,22:10:00,0,17:30:00,15:40:00,1,TK32,TK,Turkish Airlines,116648,,309656
169,,,22:10:00,1,17:30:00,15:40:00,2,TK32,TK,Turkish Airlines,116648,,309656
170,,,22:10:00,3,17:30:00,15:40:00,4,TK32,TK,Turkish Airlines,120170,,529508
171,,,22:10:00,6,17:30:00,15:40:00,0,TK32,TK,Turkish Airlines,120852,,483335
172,,,22:10:00,5,17:30:00,15:40:00,6,TK32,TK,Turkish Airlines,121051,,360683
173,,,22:10:00,4,17:30:00,15:40:00,5,TK32,TK,Turkish Airlines,121051,,322238
174,,,6:55:00,6,1:20:00,8:15:00,6,F9421,F9,Frontier Airlines,18245,,
175,,,21:03:00,6,1:27:00,22:30:00,6,F9419,F9,Frontier Airlines,18245,,
176,,,7:05:00,5,1:15:00,8:20:00,5,F9421,F9,Frontier Airlines,19248,,
177,,,6:35:00,3,1:20:00,7:55:00,3,F9421,F9,Frontier Airlines,19248,,
178,,,6:51:00,4,1:20:00,8:11:00,4,F9421,F9,Frontier Airlines,19248,,
179,,,21:04:00,4,1:27:00,22:31:00,4,F9419,F9,Frontier Airlines,19248,,
180,,,21:42:00,5,1:27:00,23:09:00,5,F9419,F9,Frontier Airlines,19248,,
181,,,20:48:00,3,1:28:00,22:16:00,3,F9419,F9,Frontier Airlines,19248,,
182,,,7:05:00,1,1:15:00,8:20:00,1,F9421,F9,Frontier Airlines,21619,,
183,,,6:57:00,2,1:20:00,8:17:00,2,F9421,F9,Frontier Airlines,21619,,
184,,,6:55:00,0,1:20:00,8:15:00,0,F9421,F9,Frontier Airlines,21619,,
185,,,21:08:00,1,1:27:00,22:35:00,1,F9419,F9,Frontier Airlines,21619,,
186,,,21:09:00,2,1:27:00,22:36:00,2,F9419,F9,Frontier Airlines,21619,,
187,,,21:08:00,0,1:27:00,22:35:00,0,F9419,F9,Frontier Airlines,21619,,
188,,,8:31:00,5,1:20:00,9:51:00,5,UA340,UA,United Airlines,23636,30308,
189,,,22:36:00,4,1:13:00,23:49:00,4,DL1474,DL,Delta Airlines,23676,38883,
190,,,20:50:00,6,1:13:00,22:03:00,6,DL511,DL,Delta Airlines,23676,34639,
191,,,22:36:00,6,1:13:00,23:49:00,6,DL1474,DL,Delta Airlines,23676,38034,
192,,,20:50:00,4,1:13:00,22:03:00,4,DL511,DL,Delta Airlines,23676,38883,
193,,,20:50:00,5,1:14:00,22:04:00,5,DL511,DL,Delta Airlines,23682,35576,
194,,,12:35:00,1,1:03:00,13:38:00,1,DL846,DL,Delta Airlines,25971,,
195,,,8:10:00,0,1:07:00,9:17:00,0,DL818,DL,Delta Airlines,25971,,
196,,,20:50:00,1,1:13:00,22:03:00,1,DL511,DL,Delta Airlines,25971,,
197,,,20:50:00,0,1:13:00,22:03:00,0,DL511,DL,Delta Airlines,25971,,
198,,,22:36:00,0,1:13:00,23:49:00,0,DL1474,DL,Delta Airlines,25971,37780,
199,,,7:14:00,4,2:15:00,9:29:00,4,B6920,B6,Jetblue Airways,8830,,
200,,,17:04:00,0,2:25:00,19:29:00,0,B6720,B6,Jetblue Airways,11519,,
201,,,7:14:00,2,2:15:00,9:29:00,2,B6920,B6,Jetblue Airways,13312,,
202,,,7:14:00,1,2:15:00,9:29:00,1,B6920,B6,Jetblue Airways,13312,,
203,,,12:31:00,2,2:22:00,14:53:00,2,B6520,B6,Jetblue Airways,13312,,
204,,,19:28:00,1,2:26:00,21:54:00,1,B61320,B6,Jetblue Airways,13312,,
205,,,19:28:00,2,2:26:00,21:54:00,2,B61320,B6,Jetblue Airways,13312,,
206,,,17:04:00,2,2:25:00,19:29:00,2,B6720,B6,Jetblue Airways,14208,,
207,,,12:45:00,2,2:24:00,15:09:00,2,DL847,DL,Delta Airlines,15520,27425,
208,,,14:20:00,2,2:28:00,16:48:00,2,DL917,DL,Delta Airlines,15520,27425,
209,,,21:29:00,1,2:30:00,23:59:00,1,DL517,DL,Delta Airlines,15520,27647,
210,,,21:29:00,2,2:30:00,23:59:00,2,DL517,DL,Delta Airlines,15520,27425,
211,,,8:45:00,1,2:15:00,11:00:00,1,DL733,DL,Delta Airlines,15561,27424,
212,,,10:03:00,1,2:25:00,12:28:00,1,DL2269,DL,Delta Airlines,15561,27647,
213,,,21:29:00,0,2:30:00,23:59:00,0,DL517,DL,Delta Airlines,15561,27425,
214,,,8:45:00,2,2:15:00,11:00:00,2,DL733,DL,Delta Airlines,16458,,
215,,,10:03:00,2,2:25:00,12:28:00,2,DL2269,DL,Delta Airlines,16458,27425,
216,,,7:14:00,1,2:15:00,9:29:00,1,AA9141,AA,American Airlines,16674,,
